"ISBN","User-ID","Book-Rating","Book-Title","Book-Author","Year-Of-Publication"
"0001714600",6575,0,"I Want to Be Somebody New! (I Can Read It All by Myself)","Robert Lopshire",1986
"0001714600",52853,8,"I Want to Be Somebody New! (I Can Read It All by Myself)","Robert Lopshire",1986
"0001718126",176062,0,"ARE YOU MY MOTHER MINI PB (EXPORT)","Seuss",1993
"0001811150",110029,0,"Day Time (Step by Step)","Diane Wilmer",1987
"0001811819",70969,8,"Paddington and the Marmalade Maze (Paddington First Books)","Michael Bond",1987
"0001821326",201017,10,"Paddington at the Tower (A Paddington Picture Book)","Michael Bond",1976
"0001821504",96473,0,"The Adventures of Paddington","Michael Bond",1970
"0001837397",11676,0,"Autumn Story Brambly Hedge","Jill Barklem",0
"0001837397",115875,9,"Autumn Story Brambly Hedge","Jill Barklem",0
"0001837397",225986,0,"Autumn Story Brambly Hedge","Jill Barklem",0
"0001840517",114216,0,"Bess","Robert Leeson",1975
"0001841572",11676,0,"Red Shift","Alan Garner",1973
"0001841572",108091,5,"Red Shift","Alan Garner",1973
"000184251X",131402,0,"February's Road","John Verney",1987
"000184251X",256630,0,"February's Road","John Verney",1987
"0001842749",37724,0,"The Growing Summer","Noel Streatfeild",1984
"0001842749",44925,0,"The Growing Summer","Noel Streatfeild",1984
"0001845039",56399,10,"The Moon of Gomrath","Alan Garner",1983
"0001846086",122874,0,"There Will Be a Next Time","Tony Drake",1984
"0001848445",11676,0,"THE COAL HOUSE T/PB","Andrew Taylor",1986
"0001848445",131402,0,"THE COAL HOUSE T/PB","Andrew Taylor",1986
"0001848445",145927,0,"THE COAL HOUSE T/PB","Andrew Taylor",1986
"0001848461",175886,0,"SONG OF THE CITY CSD","Gareth Owen",1987
"0001850121",139975,8,"A place called Lantern Light","Ellen Miller",1975
"0001856367",130973,9,"The Collins Book of Ballet and Dance","Jean Ure",1996
"0001856367",205429,0,"The Collins Book of Ballet and Dance","Jean Ure",1996
"0001857258",266867,10,"Little Wolf's Book of Badness","Ian Whybrow",1999
"0001900277",11676,0,"Glue (First Facts - First Skills)","Harriet Hains",1989
"0001900277",181659,10,"Glue (First Facts - First Skills)","Harriet Hains",1989
"0001900277",206979,0,"Glue (First Facts - First Skills)","Harriet Hains",1989
"0001935968",229329,10,"The Brambly Hedge Treasury","Jill Barklem",1991
"0001939203",14867,8,"The Collins Book of Nursery Tales","Jonathan Langley",1993
"0001939203",265595,0,"The Collins Book of Nursery Tales","Jonathan Langley",1993
"0001941941",11676,0,"Little Grey Rabbit's Christmas (Collins Colour Cubs)","Alison Uttley",1978
"0001941941",110746,9,"Little Grey Rabbit's Christmas (Collins Colour Cubs)","Alison Uttley",1978
"0001941968",110746,9,"Little Grey Rabbit's Birthday (Little Grey Rabbit Cubs)","Alison Uttley",1978
"000194214X",215677,0,"Little Grey Rabbit makes lace (The Little Grey Rabbit library)","Alison Uttley",1986
"0001944711",11676,6,"Count Duckula: Vampire Vacation","Maureen Spurgeon",1988
"0001944711",110029,0,"Count Duckula: Vampire Vacation","Maureen Spurgeon",1988
"0001944711",206979,0,"Count Duckula: Vampire Vacation","Maureen Spurgeon",1988
"0001945203",110029,5,"The Revenge of Murray the Mantis","Maureen Spurgeon",1988
"0001952404",89514,0,"Friend Monkey","P. L Travers",1972
"0001952803",69078,7,"God bless love: A collection of children's sayings","Nanette Newman",1972
"0001953877",63714,10,"Collins guide to dinosaurs","David Lambert",1983
"000195833X",243930,0,"The Earth and the Sky (Tell Me About)","Pierre Averous",1982
"0001961721",201526,0,"PADDINGTON GOES TO SALES L/CUB (Collins Colour Cubs)","Michael Bond",1987
"0001981307",166188,0,"The Cross Rabbit (Percy's Park)","Nick Butterworth",1994
"0001981307",208410,9,"The Cross Rabbit (Percy's Park)","Nick Butterworth",1994
"0001981323",244602,10,"The Badger's Bath (Percy's Park)","Nick Butterworth",1996
"0001981625",76352,0,"The Sea of Tranquility","Mark Haddon",1996
"0001981625",184401,8,"The Sea of Tranquility","Mark Haddon",1996
"0002000202",98509,0,"Black Berry, Sweet Juice: On Being Black and White in Canada","Lawrence Hill",2001
"0002000288",85526,0,"Farley: The Life of Farley Mowat","James King",2002
"0002000288",98499,0,"Farley: The Life of Farley Mowat","James King",2002
"0002000369",93366,8,"Frederick Street: Living and Dying on Canada's Love Canal (Phyllis Bruce Books)","Maude Barlow",2000
"0002000547",101606,8,"Fatal Passage: The Untold Story of John Rae, the Arctic Adventurer Who Discovered the Fate of Franklin","Kenneth McGoogan",2001
"0002005018",8,5,"Clara Callan","Richard Bruce Wright",2001
"0002005018",11400,0,"Clara Callan","Richard Bruce Wright",2001
"0002005018",11676,8,"Clara Callan","Richard Bruce Wright",2001
"0002005018",41385,0,"Clara Callan","Richard Bruce Wright",2001
"0002005018",67544,8,"Clara Callan","Richard Bruce Wright",2001
"0002005018",85526,0,"Clara Callan","Richard Bruce Wright",2001
"0002005018",96054,0,"Clara Callan","Richard Bruce Wright",2001
"0002005018",116866,9,"Clara Callan","Richard Bruce Wright",2001
"0002005018",123629,9,"Clara Callan","Richard Bruce Wright",2001
"0002005018",177458,0,"Clara Callan","Richard Bruce Wright",2001
"0002005018",200273,8,"Clara Callan","Richard Bruce Wright",2001
"0002005018",210926,9,"Clara Callan","Richard Bruce Wright",2001
"0002005018",219008,7,"Clara Callan","Richard Bruce Wright",2001
"0002005018",263325,6,"Clara Callan","Richard Bruce Wright",2001
"0002005050",36907,10,"The Romantic","Barbara Gowdy",2003
"0002005050",85526,0,"The Romantic","Barbara Gowdy",2003
"0002005050",152309,0,"The Romantic","Barbara Gowdy",2003
"0002005050",270554,0,"The Romantic","Barbara Gowdy",2003
"0002005395",13221,0,"Deafening","Frances Itani",2003
"0002005395",13222,8,"Deafening","Frances Itani",2003
"000200545X",137686,0,"Elegance","Kathleen Tessaro",2003
"000200545X",245195,0,"Elegance","Kathleen Tessaro",2003
"0002005557",85526,7,"A Blade of Grass","Lewis Desoto",2003
"0002006502",98510,0,"The Devil Is Clever: A Memoir of My Romanian Mother","Kenneth Radu",2004
"0002006588",26583,8,"Vancouver","David Cruise",2003
"0002006588",101731,8,"Vancouver","David Cruise",2003
"0002111314",106988,6,"The companion guide to Tuscany","Archibald Lyall",1973
"0002113570",110029,0,"In the shadow of man;","Jane Goodall",1971
"0002114038",170184,0,"The Great Rebellion: Vol.1: The King's Peace 1637-1641","C. V. Wedgwood",1979
"0002115328",120565,9,"Mother Teresa: Her people and her work","Desmond Doig",1976
"0002116286",25745,0,"There's A Seal in my Sleeping Bag","Lyn Hancock",1992
"0002116286",101606,6,"There's A Seal in my Sleeping Bag","Lyn Hancock",1992
"0002116286",123056,8,"There's A Seal in my Sleeping Bag","Lyn Hancock",1992
"0002116286",219008,7,"There's A Seal in my Sleeping Bag","Lyn Hancock",1992
"0002116286",233627,8,"There's A Seal in my Sleeping Bag","Lyn Hancock",1992
"0002118572",224121,0,"Time and chance: An autobiography","Peter Townsend",1978
"0002118580",11676,9,"Audacity to believe","Sheila Cassidy",1977
"0002118580",175119,0,"Audacity to believe","Sheila Cassidy",1977
"0002118580",194500,7,"Audacity to believe","Sheila Cassidy",1977
"0002130289",122881,0,"The badger (A New naturalist monograph)","Ernest G Neal",1975
"000213179X",122881,0,"Pedigree;: Essays on the etymology of words from nature (The New naturalist; a survey of British natural history)","Stephen Potter",1973
"0002153572",216749,7,"Wild swans: Three daughters of China","Jung Chang",1991
"0002153572",261037,7,"Wild swans: Three daughters of China","Jung Chang",1991
"0002153572",274004,0,"Wild swans: Three daughters of China","Jung Chang",1991
"0002154064",246617,0,"All My Road Before Me: The Diary of C.S.Lewis 1922-27","C.S. Lewis",1990
"0002154390",189733,0,"Videotrash &amp; Treasures: A Field Guide to the Video Unknown (Video Trash &amp; Treasures)","L. A. Morse",1992
"0002154900",193560,8,"Anna and the Black Knight","Fynn",1990
"0002154978",227436,9,"The Boy Who Couldn't Stop Washing: The Experience and Treatment of Obsessive-compulsive Disorder","Judith Rapoport MD",1990
"0002156083",181077,0,"Of This and Other Worlds","C. S. Lewis",1982
"0002156601",114066,0,"Perestroika : new thinking for our country and the world","Mikhail Sergeevich Gorbachev",1987
"0002156970",14449,0,"Inside memory: Pages from a writer's workbook","Timothy Findley",1990
"0002157101",204946,0,"Roseanne: My Life as a Woman","Roseanne Barr",1990
"0002157411",249111,0,"King Edward VIII: The official biography","Philip Ziegler",1990
"0002157446",222586,8,"The valour and the horror: The untold story of Canadians in the Second World War","Merrily Weisbord",1991
"0002157853",171118,0,"Shifting Gears: Thriving in the New Economy","Nuala Beck",1995
"0002157853",189334,0,"Shifting Gears: Thriving in the New Economy","Nuala Beck",1995
"000215787X",268932,0,"Tapestry of war: A private view of Canadians in the Great War","Sandra Gwyn",1992
"0002157950",93162,10,"Faultlines: Struggling for a Canadian vision","Jeffrey Simpson",1993
"0002157950",157594,0,"Faultlines: Struggling for a Canadian vision","Jeffrey Simpson",1993
"0002158698",109901,0,"Challenge to Civilization a History Of","Martin Gilbert",0
"000215871X",130085,7,"Stalin's nose: Across the face of Europe","Rory MacLean",1992
"0002158973",262998,8,"Landscape and Memory","Simon Schama",0
"0002159767",26583,0,"China Tide","Margaret Cannon",0
"0002160099",68743,8,"Living through the Blitz","Tom Harrisson",1976
"0002160595",17507,0,"C. S. Lewis: A biography","Roger Lancelyn Green",1974
"0002160595",268262,0,"C. S. Lewis: A biography","Roger Lancelyn Green",1974
"0002162857",129598,0,"Bedside Guardian 29","W L Webb",0
"0002163578",98573,5,"Cry of the Kalahari","Mark Owens",1985
"0002163713",23902,8,"Cary Grant, haunted idol","Geoffrey Wansell",1983
"0002165368",27617,8,"Arthur C. Clarke's mysterious world","Simon Welfare",1980
"0002166607",110029,0,"Travelling reserve","Ian Wooldridge",1982
"0002166631",36836,0,"Arthur Bryant: Portrait of a historian","Pamela Street",1979
"0002166798",217121,0,"Arthur C. Clarke's World of strange powers","John Fairley",1984
"0002166828",28602,8,"Memoirs of a great Canadian detective: Incidents in the life of John Wilson Murray","John Wilson Murray",1977
"0002167425",171118,0,"The stationary ark","Gerald Malcolm Durrell",1976
"0002169290",43962,0,"For Goodness Sake","Merren Parker",0
"000217104X",138844,0,"Winner's Edge","Arthur Irwin",1987
"0002172739",86835,0,"Bonnie Sterns Cuisinart Cookbook","Bonnie Stern",1985
"0002173611",217121,0,"The fatal shore: A history of the transportation of convicts to Australia, 1787-1868","Robert Hughes",1987
"0002174154",42400,0,"Back to Cape Horn","Rosie Swale",1986
"0002174154",52441,0,"Back to Cape Horn","Rosie Swale",1986
"0002176084",263637,0,"The diaries of Lord Louis Mountbatten, 1920-1922: Tours with the Prince of Wales","Louis Mountbatten Mountbatten of Burma",1987
"0002176181",63714,9,"Arthur C. Clarke's chronicles of the strange and mysterious","John Fairley",1987
"000217622X",265595,0,"STEVE MCQUEEN","Penina Spiegel",1986
"0002176432",11676,5,"The Financial post selects the 100 best companies to work for in Canada","Eva Innes",1986
"0002176432",161619,5,"The Financial post selects the 100 best companies to work for in Canada","Eva Innes",1986
"0002177803",175886,0,"Still Dancing: My Story","Lew Grade",1992
"0002179687",11601,0,"Christmas in America: Images of the Holiday Season by 100 of America's Leading Photographers","David Cohen",1988
"0002179695",159506,9,"A Day in the Life of the Soviet Union","Rick Smolan",1991
"0002181924",189835,5,"The Illustrated Brontes of Haworth: Scenes and Characters from the Lives and Writings of the Bronte Sisters (Willow Books)","Brian Wilks",1989
"0002184974",11676,7,"Nigel Mansell My Autobiography","Nigel Mansell",1996
"0002184974",180651,8,"Nigel Mansell My Autobiography","Nigel Mansell",1996
"0002187272",166670,10,"Mr. Wright","Ian Wright",1997
"0002189569",93740,4,"Botham's Century: My 100 Great Cricketing Characters","Ian Botham",2001
"0002190206",122881,0,"Heathlands (The New naturalist library)","Nigel Webb",1986
"0002190915",49277,0,"Life on earth: A natural history","David Attenborough",1979
"0002190915",63714,10,"Life on earth: A natural history","David Attenborough",1979
"0002190915",76626,0,"Life on earth: A natural history","David Attenborough",1979
"0002190915",179691,9,"Life on earth: A natural history","David Attenborough",1979
"0002190915",193560,0,"Life on earth: A natural history","David Attenborough",1979
"0002191792",61147,10,"Birds of East Africa (Collins Field Guides)","John G. Williams",1995
"0002192152",61147,10,"National Parks of East Africa (Collins Field Guides)","John G. Williams",1995
"0002195690",107697,0,"Richard Bell's Britain","Richard Bell",1981
"0002197154",193560,7,"The wild flowers of Britain and northern Europe","Richard Sidney Richmond Fitter",1985
"0002197286",91449,9,"Collins Bird Guide: The Most Complete Field Guide to the Birds of Britain and Europe","L. Svensson",1998
"0002198274",274111,9,"The first Eden: The Mediterranean world and man","David Attenborough",1987
"0002199009",61147,9,"Collins Field Guide Birds of Britain and Europe","Roger Tory Peterson",0
"0002199793",68760,10,"Collins Pocket Guide to Stars and Planets","Ian Ridpath",1994
"0002200309",122881,10,"Seashore (Collins New Naturalist)","Peter Hayward",2004
"0002200813",122881,0,"Lichens (New Naturalist)","Oliver Gilbert",2000
"0002200821",122881,0,"Lichens (New Naturalist)","Oliver Gilbert",2000
"000220083X",122881,0,"AMPHIBIANS AND REPTILES","Trevor Beebee",2000
"0002201402",122881,0,"British Bats (Collins New Naturalist)","John D. Altringham",2003
"0002201410",122881,0,"Moths (New Naturalist)","Michael E. N. Majerus",2002
"0002201453",122881,0,"Loch Lomondside","John Mitchell",2001
"0002202107",28204,0,"HOUSE DOCTOR","Ann Maurice",2000
"0002210436",147166,5,"Agent In Place","Helen Macinnes",0
"0002210479",111550,6,"A bridge of magpies","Geoffrey Jenkins",1974
"0002210843",76942,0,"Bear Island","Alistair MacLean",1971
"0002210967",22023,0,"The black moon;: A novel of Cornwall, 1794-5","Winston Graham",1973
"0002210967",170184,10,"The black moon;: A novel of Cornwall, 1794-5","Winston Graham",1973
"0002210967",227538,0,"The black moon;: A novel of Cornwall, 1794-5","Winston Graham",1973
"000221122X",5899,0,"The candywine development","John Morris",1970
"0002211483",214528,0,"Dragonmede","Rona Randall",1974
"0002211890",25489,8,"The devil is loose","Graham Shelby",1973
"0002211890",131411,7,"The devil is loose","Graham Shelby",1973
"0002212064",35050,0,"The Echoing Grove","Rosamond Lehmann",1984
"0002212080",96493,0,"The eagle has landed","Jack Higgins",1975
"000221329X",173018,0,"Hugh","Jonathan Wade",1974
"0002213656",173018,0,"Peter's pence;: A novel","Jon Cleary",1974
"0002213656",227538,0,"Peter's pence;: A novel","Jon Cleary",1974
"0002214067",133008,10,"King Cotton","Thomas Armstrong",1985
"0002215039",172742,0,"My Son, My Son","Howard Spring",1980
"0002215470",76942,0,"Breakheart Pass","Alistair MacLean",1974
"0002215470",203366,0,"Breakheart Pass","Alistair MacLean",1974
"0002215497",86243,0,"The private life of Mona Lisa","Pierre La Mure",1976
"0002215810",11601,0,"Lord of the Far Island","Victoria Holt",1975
"0002215810",35050,0,"Lord of the Far Island","Victoria Holt",1975
"0002215837",227538,0,"The enemy","Desmond Bagley",1977
"0002216140",29070,7,"Offshore","Penelope Fitzgerald",1979
"0002216485",259378,0,"Puppet on a chain","Alistair MacLean",1969
"0002216582",173018,0,"The perfect carrier","Sheila Ross",1972
"0002217422",227538,0,"The spoilers","Desmond Bagley",1969
"000221766X",265031,8,"Sue Crowther's Marriage","Thomas Armstrong",1987
"000221847X",79428,0,"The tightrope men","Desmond Bagley",1973
"000221847X",206979,0,"The tightrope men","Desmond Bagley",1973
"000221847X",227538,0,"The tightrope men","Desmond Bagley",1973
"0002219336",182987,0,"The woman destroyed;","Simone de Beauvoir",1969
"0002219476",10067,0,"The way to dusty death","Alistair MacLean",1973
"0002219697",263877,0,"Trigger","Antony Melville-Ross",1982
"0002219808",93698,0,"The Zhukov briefing","Antony Trew",1975
"0002219980",31831,6,"Contract","Gerald Seymour",1980
"0002219980",151806,0,"Contract","Gerald Seymour",1980
"0002220032",173018,0,"Airscream","John Bruce",1977
"0002220776",138844,0,"I Heard the Owl Call My Name","Margaret Craven",0
"0002220776",202798,0,"I Heard the Owl Call My Name","Margaret Craven",0
"0002221160",35050,0,"Solo","Jack Higgns",0
"0002222469",170184,8,"The four swans: A novel of Cornwall 1795-7","Winston Graham",1976
"0002222469",227538,0,"The four swans: A novel of Cornwall 1795-7","Winston Graham",1976
"0002222590",33026,0,"The Golden Gate","Alistair MacLean",1976
"0002222671",158594,0,"The navigator","Morris L West",1976
"0002222752",70740,5,"Goodbye California","Alistair MacLean",1977
"0002223198",131433,0,"The weaver's apprentice","Michael Brown",1986
"000222335X",34087,7,"Lucianos Luck","Jack Higgings",0
"000222335X",265595,0,"Lucianos Luck","Jack Higgings",0
"0002223368",227538,0,"Open Secret","James Leasor",1982
"0002223589",225986,0,"Bahama Crisis","Desmond Bagley",1981
"0002223929",274301,8,"Men on white horses","Pamela Haines",1978
"0002224216",170184,9,"The angry tide: A novel of Cornwall, 1798-9","Winston Graham",1977
"0002224216",227538,0,"The angry tide: A novel of Cornwall, 1798-9","Winston Graham",1977
"0002224356",111480,0,"Black Camelot","Duncan Kyle",1978
"0002224607",227538,0,"Storm warning","Jack Higgins",1976
"0002224682",70740,0,"Seawitch","Alistair MacLean",1977
"0002224682",93698,0,"Seawitch","Alistair MacLean",1977
"0002226162",170184,9,"The stranger from the sea: A novel of Cornwall 1810-1811","Winston Graham",1981
"0002226162",227538,0,"The stranger from the sea: A novel of Cornwall 1810-1811","Winston Graham",1981
"000222674X",170184,9,"Miller's Dance: A Novel of Cornwall, 1812-1813","Winston Graham",1982
"000222674X",227538,0,"Miller's Dance: A Novel of Cornwall, 1812-1813","Winston Graham",1982
"0002227045",227538,0,"The phoenix tree","Jon Cleary",1984
"0002227150",147166,6,"White Gold Wielder","Stephen R Donaldson",0
"0002228394",120178,7,"How to Shoot an Amateur Naturalist","Gerald Durrell",1984
"0002228394",120565,9,"How to Shoot an Amateur Naturalist","Gerald Durrell",1984
"0002228424",147947,0,"Kootenay Kidnapper","Eric Wilson",1984
"0002228424",177458,0,"Kootenay Kidnapper","Eric Wilson",1984
"0002228424",180586,0,"Kootenay Kidnapper","Eric Wilson",1984
"0002228556",138844,0,"Final Decree","George Jonas",0
"0002229544",12927,0,"Cold New Dawn","Ian St James",1987
"0002231352",52606,4,"Chapter of Echoes","Aileen Armitage",1989
"0002231352",265595,0,"Chapter of Echoes","Aileen Armitage",1989
"0002231441",144131,0,"Family business","Anna Murdoch",1988
"000223257X",30511,7,"The Family Mashber","Der Nister",1987
"0002233495",212898,0,"The cloning of Joanna May","Fay Weldon",1989
"0002233509",87019,0,"Darcys Utopia","Fay Weldon",0
"0002233509",155287,0,"Darcys Utopia","Fay Weldon",0
"0002233509",189334,10,"Darcys Utopia","Fay Weldon",0
"0002233711",114178,0,"Well of Time Uk","Tom Henighan",0
"0002234424",236340,0,"A song at twilight","Bryan Forbes",1989
"0002234440",274301,0,"The Raven on the Water","Andrew Taylor",1991
"0002234491",173018,0,"Wall games","Michael Dobbs",1990
"0002234734",186457,0,"The Colours of Her Day","Valerie Blumenthal",1989
"0002234947",39608,0,"Miss Hobbema Pageant","W.P. Kinsella",1990
"0002234947",219445,0,"Miss Hobbema Pageant","W.P. Kinsella",1990
"0002234947",227275,0,"Miss Hobbema Pageant","W.P. Kinsella",1990
"0002235013",212898,0,"Alistair MacLean's Night Watch","Alistair MacNeill",1990
"0002235390",174478,6,"The Way We Lived Then: The \""""""""English Story\"""""""" in the 1940s","Woodrow Wyatt",1989
"0002237458",14449,6,"Headhunter: A novel","Timothy Findley",1993
"0002237458",60626,0,"Headhunter: A novel","Timothy Findley",1993
"0002237458",140555,9,"Headhunter: A novel","Timothy Findley",1993
"0002237458",238456,0,"Headhunter: A novel","Timothy Findley",1993
"0002237520",97428,8,"Box socials: A novel","W. P Kinsella",1991
"0002237857",274057,4,"The Trojan Hearse","Brian Callison",1991
"0002238861",149908,0,"To Play the King","Michael Dobbs",1992
"0002239183",189334,10,"Affliction","Fay Weldon",0
"0002239183",196047,6,"Affliction","Fay Weldon",0
"0002239183",275970,6,"Affliction","Fay Weldon",0
"0002239213",139742,0,"Wicked women: A collection of short stories","Fay Weldon",1995
"0002239213",189334,0,"Wicked women: A collection of short stories","Fay Weldon",1995
"0002239213",200226,0,"Wicked women: A collection of short stories","Fay Weldon",1995
"0002239213",245839,0,"Wicked women: A collection of short stories","Fay Weldon",1995
"0002239213",261773,0,"Wicked women: A collection of short stories","Fay Weldon",1995
"0002240009",39238,8,"One good story, that one: Stories","Thomas King",1993
"0002240009",101731,0,"One good story, that one: Stories","Thomas King",1993
"0002240009",204835,0,"One good story, that one: Stories","Thomas King",1993
"0002240017",179904,0,"Wedding cakes, rats, and rodeo queens","Anne Cameron",1994
"0002240114",277996,6,"The Dixon Cornbelt League and other baseball stories","W. P Kinsella",1993
"0002240114",139136,7,"The Dixon Cornbelt League and other baseball stories","W. P Kinsella",1993
"0002240114",165669,5,"The Dixon Cornbelt League and other baseball stories","W. P Kinsella",1993
"0002240114",166596,9,"The Dixon Cornbelt League and other baseball stories","W. P Kinsella",1993
"0002240114",171078,0,"The Dixon Cornbelt League and other baseball stories","W. P Kinsella",1993
"0002241358",23902,8,"Cocaine nights","J. G Ballard",1996
"0002241447",124597,0,"The Thief of Always: A Fable","Clive Barker",1992
"0002241447",153662,0,"The Thief of Always: A Fable","Clive Barker",1992
"0002242591",14449,8,"Finding Moon","Tony Hillerman",0
"0002242591",171078,0,"Finding Moon","Tony Hillerman",0
"0002242591",210420,0,"Finding Moon","Tony Hillerman",0
"0002243016",68873,3,"Desperadoes","Joseph O'Connor",1994
"0002243687",271542,0,"Brother Frank's gospel hour: And other stories","W. P Kinsella",1994
"0002243733",213113,0,"In the language of love: A novel in 100 chapters","Diane Schoemperlen",1994
"0002243776",5903,0,"Visible Worlds: A Novel","Marilyn Bowering",1997
"0002243776",67708,7,"Visible Worlds: A Novel","Marilyn Bowering",1997
"0002243776",95741,0,"Visible Worlds: A Novel","Marilyn Bowering",1997
"0002243776",141901,0,"Visible Worlds: A Novel","Marilyn Bowering",1997
"0002243792",72214,10,"The Piano Man's Daughter","Timothy Findley",1995
"0002243806",148052,0,"The winter Helen dropped by: A novel","W. P Kinsella",1995
"0002243806",269309,7,"The winter Helen dropped by: A novel","W. P Kinsella",1995
"0002243865",158456,8,"The Garden of Eden","Sharon Butala",1998
"0002243954",60626,0,"White Bone","Barbara Gowdy",0
"0002243954",67544,0,"White Bone","Barbara Gowdy",0
"0002243954",115180,0,"White Bone","Barbara Gowdy",0
"0002243954",148782,0,"White Bone","Barbara Gowdy",0
"0002243954",189334,0,"White Bone","Barbara Gowdy",0
"0002243962",47377,6,"Girlfriend In a Coma","Douglas Coupland",0
"0002243962",57725,0,"Girlfriend In a Coma","Douglas Coupland",0
"0002243962",62862,4,"Girlfriend In a Coma","Douglas Coupland",0
"0002243962",112857,5,"Girlfriend In a Coma","Douglas Coupland",0
"0002243962",212898,0,"Girlfriend In a Coma","Douglas Coupland",0
"0002243962",269451,8,"Girlfriend In a Coma","Douglas Coupland",0
"000224408X",177458,0,"The age of longing: A novel","Richard B Wright",1995
"000224408X",205473,0,"The age of longing: A novel","Richard B Wright",1995
"0002244098",6242,5,"Dust to dust: Stories","Timothy Findley",1997
"0002244098",14449,7,"Dust to dust: Stories","Timothy Findley",1997
"0002244098",67445,0,"Dust to dust: Stories","Timothy Findley",1997
"0002244098",67544,7,"Dust to dust: Stories","Timothy Findley",1997
"0002244098",92861,0,"Dust to dust: Stories","Timothy Findley",1997
"0002244098",110076,0,"Dust to dust: Stories","Timothy Findley",1997
"0002244098",176481,0,"Dust to dust: Stories","Timothy Findley",1997
"0002244098",270713,0,"Dust to dust: Stories","Timothy Findley",1997
"0002244705",151806,0,"Charity","Len Deighton",1996
"0002245426",173018,0,"Autumn maze","Jon Cleary",1994
"000224554X",36836,0,"Let Me Be the One","Elisabeth Harvor",1997
"000224554X",230699,0,"Let Me Be the One","Elisabeth Harvor",1997
"0002245663",5733,0,"Forms of Devotion: Stories and Pictures","Diane Schoemperlen",1998
"0002245663",11676,0,"Forms of Devotion: Stories and Pictures","Diane Schoemperlen",1998
"0002245663",25804,8,"Forms of Devotion: Stories and Pictures","Diane Schoemperlen",1998
"0002245663",44228,0,"Forms of Devotion: Stories and Pictures","Diane Schoemperlen",1998
"0002245671",51397,0,"Any Known Blood","Lawrence Hill",1997
"0002245671",140069,0,"Any Known Blood","Lawrence Hill",1997
"0002245671",189334,0,"Any Known Blood","Lawrence Hill",1997
"0002245728",101606,7,"Freedom's Just Another Word","Dakota Hamilton",1998
"0002250101",73976,7,"Sharpe's tiger: Richard Sharpe and the Siege of Seringapatam, 1799","Bernard Cornwell",1997
